feature,best_lag_steps,best_lag_label,mutual_information,samples
tratadores_e_intercambiadores_de_butano | AI-1224B,8,40min (0.67h),1.7583401856155634,25000
debutanizadora_y_tratamiento_de_alquilato | TI-2105,24,120min (2.00h),0.8269630813321722,25000
debutanizadora_y_tratamiento_de_alquilato | TIC-2103,24,120min (2.00h),0.6560903926191983,25000
isostripper | TI-1567,51,255min (4.25h),0.4663074503160285,25000
debutanizadora_y_tratamiento_de_alquilato | TI-1567,30,150min (2.50h),0.4623037140821138,25000
psh | TI-4043A,69,345min (5.75h),0.4615324628175186,25000
psh | TI-4043C,69,345min (5.75h),0.4270154337921541,25000
psh | FIC-4061,69,345min (5.75h),0.39198208723282413,25000
reactor_de_alquilacion | FI-1903B,66,330min (5.50h),0.3846253700120563,25000
debutanizadora_y_tratamiento_de_alquilato | FIC-2100,66,330min (5.50h),0.3842694898555665,25000
horno | FI-1903B-F-2-OLEFINAS,63,315min (5.25h),0.379173928729851,25000
isostripper | FIC-2100,66,330min (5.50h),0.3734177968680923,25000
horno | FI-1000-ISOBUTANO-REPOSICION,84,420min (7.00h),0.37030727985721423,25000
horno | FIC-1903C-F-2-OLEFINAS,63,315min (5.25h),0.3634429848959648,25000
reactor_de_alquilacion | FIC-1903C,63,315min (5.25h),0.3614369349385216,25000
horno | TI-1514,108,540min (9.00h),0.3599263754442035,25000
reactor_de_alquilacion | FI-1059A,63,315min (5.25h),0.3447494177812773,25000
horno | FI-1059A-F-1-OLEFINAS,63,315min (5.25h),0.34086910503920986,25000
isostripper | PIC-1921,120,600min (10.00h),0.32975522899423293,25000
reactor_de_alquilacion | PI-1921,120,600min (10.00h),0.32975522899423293,25000
horno | TI-1105A,120,600min (10.00h),0.3227670066703885,25000
psh | TI-4135,57,285min (4.75h),0.30568677045306814,25000
tratadores_e_intercambiadores_de_propano | TIC-2400,96,480min (8.00h),0.28402740574199914,25000
tratadores_e_intercambiadores_de_propano | PIC-2417,108,540min (9.00h),0.2766872222792811,25000
psh | LI-4040,96,480min (8.00h),0.26585771045715223,25000
debutanizadora_y_tratamiento_de_alquilato | PDI-2110,84,420min (7.00h),0.23774936597396046,25000
horno | PI-1659A,120,600min (10.00h),0.23087010253186335,25000
horno | PI-1659B,108,540min (9.00h),0.20100245631105995,25000
debutanizadora_y_tratamiento_de_alquilato | PI-2110B,84,420min (7.00h),0.19826319114763447,25000
horno | PI-1678,456,2280min (38.00h),0.19115503823371682,25000
